weight_g,ram,ram1,android,display,internal,intenal1,camera,speed1,speed,month number,concat,timestamp,approx_price_EUR
130.5,1,1,3.1,4.5,16,16,8,#VALUE!,#VALUE!,10,2011 10,24,180
650,1,1,3.2,10,16,16,5,#VALUE!,#VALUE!,10,2011 10,24,230
952.5,1,1,3.2,10,16,16,5,#VALUE!,#VALUE!,10,2011 10,24,900
952.5,1,1,3.2,7,16,16,Err:502,#VALUE!,#VALUE!,10,2011 10,24,1470
586,1,1,3.2,10,Err:502,Err:502,8,#VALUE!,#VALUE!,10,2011 10,24,350
,Err:502,Err:502,4,7,16,16,5,#VALUE!,#VALUE!,10,2011 10,24,350
150,1,1,OS ,4.6,32,32,5,#VALUE!,#VALUE!,10,2011 10,24,150
135,1,1,2.1,4.6,16,16,5,#VALUE!,#VALUE!,10,2011 10,24,180
389,512,0.5,2.2,7,512,0.5,2,800,800,11,2011 11,25,
110,512,0.5,2.2,3.5,512,0.5,3.15,600,600,11,2011 11,25,
71,128,0.125,2.3,3.2,512,0.5,2,416,416,11,2011 11,25,
198,1,1,2.3,5,8,8,5,#VALUE!,#VALUE!,11,2011 11,25,
400,512,0.5,2.3,7,16,16,3.15,#VALUE!,#VALUE!,11,2011 11,25,170
120,512,0.5,2.3,3.5,Err:502,Err:502,5,800,800,11,2011 11,25,120
105,Err:502,Err:502,2.3,3.2,2,2,3.15,800,800,11,2011 11,25,70
120,512,0.5,2.3,3.5,2,2,3.15,#VALUE!,#VALUE!,11,2011 11,25,70
118,Err:502,Err:502,2.3,3.5,512,0.5,5,#VALUE!,#VALUE!,11,2011 11,25,170
670,1,1,2.3,10,16,16,8,#VALUE!,#VALUE!,11,2011 11,25,
357,1,1,2.3,7,16,16,8,#VALUE!,#VALUE!,11,2011 11,25,
135,1,1,2.3,4.5,2,2,8,#VALUE!,#VALUE!,11,2011 11,25,220
170.1,1,1,2.3,4.3,16,16,8,#VALUE!,#VALUE!,11,2011 11,25,160
123,256,0.25,2.3,3.2,512,0.5,3.15,650,650,11,2011 11,25,100
127,1,1,2.3,4.5,4,4,8,#VALUE!,#VALUE!,11,2011 11,25,170
123.6,512,0.5,3.2,4,1,1,8,800,800,11,2011 11,25,120
386,1,1,3.2,8.2,43540,42.51953125,5,#VALUE!,#VALUE!,11,2011 11,25,210
599,1,1,2.2,10,43540,42.51953125,5,#VALUE!,#VALUE!,11,2011 11,25,210
,512,0.5,2.2,4.3,180,0.17578125,5,#VALUE!,#VALUE!,12,2011 12,26,
,Err:502,Err:502,2.3,3.2,200,0.1953125,5,416,416,12,2011 12,26,
96,256,0.25,2.3,2.8,512,0.5,2,650,650,12,2011 12,26,70
192,512,0.5,2.3,5.3,512,0.5,5,650,650,12,2011 12,26,170
135.4,Err:502,Err:502,2.3,3.7,Err:502,Err:502,3.15,650,650,12,2011 12,26,120
110,Err:502,Err:502,2.3,2.8,Err:502,Err:502,3.15,#VALUE!,#VALUE!,12,2011 12,26,100
139,Err:502,Err:502,2.3,4.5,16,16,13,#VALUE!,#VALUE!,12,2011 12,26,220
149,Err:502,Err:502,2.3,4.5,16,16,13,#VALUE!,#VALUE!,12,2011 12,26,280
102,Err:502,Err:502,2.3,3.5,256,0.25,3.15,800,800,12,2011 12,26,
206,Err:502,Err:502,2.3,3.5,16,16,5,#VALUE!,#VALUE!,12,2011 12,26,220
109,Err:502,Err:502,2.3,3.1,512,0.5,3.15,832,832,12,2011 12,26,80
112.3,Err:502,Err:502,2.3,2.6,512,0.5,3.15,832,832,12,2011 12,26,120
389,512,0.5,2.3,7,4,4,3.2,#VALUE!,#VALUE!,12,2011 12,26,250
139,512,0.5,2.3,4,4,4,8,#VALUE!,#VALUE!,12,2011 12,26,110
138,1,1,2.3,4.5,16,16,8,#VALUE!,#VALUE!,12,2011 12,26,190
142,512,0.5,2.3,3.7,4,4,5,800,800,12,2011 12,26,100
139,1,1,2.3,4,16,16,8,#VALUE!,#VALUE!,12,2011 12,26,270
115,512,0.5,2.3,3.5,512,0.5,5,800,800,12,2011 12,26,70
138,1,1,3.2,4.3,8,8,8,#VALUE!,#VALUE!,12,2011 12,26,210
390,1,1,3.2,8.2,43540,42.51953125,5,#VALUE!,#VALUE!,12,2011 12,26,290
599,1,1,3.2,10,43540,42.51953125,5,#VALUE!,#VALUE!,12,2011 12,26,260
