ram1,android,weight_g,speed final,display,camera,intenal1,approx_price_EUR
0.5,2.3,155,0.8,3.5,3.15,1,380
0.5,2.3,125,0.6,3.5,3.15,0.5,100
0.25,2.3,102,1,2.8,1.3,0.5,50
0.25,2.3,125,1,3.5,3.15,0.5,60
1,4,124.7,1.2,4.5,5,8,290
2,4,145,1.4,4.5,8,8,150
1,4,135,1.5,4.3,8,4,150
1,4,148,1.5,4.7,8,16,170
1,4,167.8,1.2,4,5,8,150
2,4,144.9,-1,4.7,13,32,480
0.5,4,168.8,1,5,5,20,320
1,4,136,1.5,4.5,5,8,160
2,4,135,1.5,4.7,13,16,450
0.5,4,118.4,1,4.3,8,4,180
1,4,119.1,1,4.5,5,4,170
0.5,4,119,1,3.5,3.15,4,150
1,4,160,1,4.5,8,4,100
1,4,125,1,4,8,4,100
1,4,159,1.5,4,5,8,150
1,4,148,1.5,4.5,13,16,350
2,4,168.5,1.5,5.3,13,16,550
0.5,4,106.9,0.85,3,3.15,4,100
0.5,4,168,1,5,8,4,160
0.5,4,106.9,0.85,3,3.15,4,100
1,4.1,390,1.2,7,2,8,150
1,4.1,111.5,1,4,5,8,130
1,4.1,347,1.2,7,1.2,16,230
1,4.1,135,1.7,4.7,8,-1,220
2,4.2,139,1.5,4.7,8,8,250
2,4.2,603,1.7,10,5,16,260
0.5,2.3,136,1,3.5,3.15,0.5,50
0.25,2.3,-1,1,3.5,2,0.5,100
0.5,2.3,127.6,0.8,3.2,3.15,1,100
-1,2.3,185,1,5,5,-1,120
1,4,430,1.5,9.7,2,4,180
0.5,4,-1,1,4,5,4,100
1,4,580,1.5,10,5,16,270
1,4,131.3,1,4.6,8,4,200
0.5,4,162.2,1,3.9,3.15,4,90
1,4,122,1.2,4.3,5,8,180
0.75,4,131,1,4.3,8,4,270
1,4,156,1,4.3,5,4,200
1,4,111.1,1.5,4.3,8,8,250
1,4,113,1,4.5,8,16,280
0.5,4,102.5,1,3,3.15,4,320
1,4,136.1,1.2,4,5,4,150
1,4,154,1.2,4,5,8,170
0.5,4,122,0.8,3.5,3.15,4,80
1,4,400,1,7,2,4,180
1,4,142,1.5,4.5,12.6,8,360
1,4,122,1.2,4.3,5,8,200
1,4.1,161,1.2,4.5,5,4,140
1,4.1,130,1.5,4.6,8,8,260
2,4.1,141.7,1.5,5,8,16,280
2,4.1,142,1.6,4.4,8,16,310
0.25,2.3,105,1,3.2,1.3,0.5,70
-1,2.3,103,1,3.2,2,-1,50
-1,2.3,104,1,3.5,2,-1,50
1,4,130,1.2,4.6,8,4,210
-1,4,450,1.2,9,-1,-1,100
-1,4,147,1,4.3,5,-1,120
0.5,4,147.6,1,4.3,5,4,110
0.5,4,148.8,1.2,4,5,4,110
0.5,4,200,1,5,5,4,140
0.5,4,115.7,1,3.5,3.15,4,100
2,4.1,165,1.5,5,13,16,540
2,4.1,600,1.4,10,5,16,390
0.5,4.1,115.7,1,3.5,3.15,4,80
1,4.1,639.6,1.5,10,3.15,16,250
2,4.1,126,1.5,5,13,32,520
2,4.1,140,1.5,5,8,16,330
1,4.1,162,1.2,5,8,8,180
1,4.1,162,1.2,5,8,8,210
0.5,4.2,128,1.3,4,5,4,90
2,4.2,146,1.7,4.3,13,32,420
1,-1,119,1,4.3,5,4,240
-1,2.2,125,0.8,3.5,3.15,-1,130
0.375,2.2,106.6,0.832,3.1,3.15,0.15625,100
1,2.3,163.8,1.5,4.5,8,16,160
-1,2.3,131.3,0.8,4,3.15,0.146484375,130
-1,2.3,-1,0.65,3.5,3.2,-1,90
-1,2.3,97,0.832,2.8,2,3,80
-1,2.3,96,0.65,2.8,3.15,0.130859375,70
0.25,2.3,120,0.8,3.5,3.15,0.5,160
1,2.3,148,1.2,4.3,-1,8,230
1,2.3,148,1.2,4.3,-1,16,210
0.5,2.3,124,1.4,4.3,5,2,220
0.5,2.3,140,1,4,5,4,130
0.5,2.3,110,1,3.5,5,8,140
1,2.3,120,1,4,8,16,210
0.75,2.3,122,0.8,3.8,5,4,130
1,2.3,-1,1.2,4.3,5,16,130
0.5,2.3,168,0.8,4.3,5,1,190
1,2.3,103,1,4.3,8,8,360
1,2.3,168,1.5,5,8,32,240
0.5,2.3,119,1.4,3.7,5,4,170
0.5,2.3,105.3,0.8,3.2,3.15,4,90
0.5,2.3,130,1,4,5,4,180
0.75,2.3,145.3,1,4,5,8,240
0.5,2.3,117.4,1,3.5,5,0.5,230
1,2.3,117,1.6,4,8,16,190
-1,3.2,-1,1.2,10,5,16,300
-1,3.2,319,1.2,7,5,16,230
1,3.2,400,1.2,7,5,16,230
0.5,4,125,1,3.7,5,1,120
1,4,-1,1.5,4.3,8,8,220
1,4,777,1.3,10,5,16,250
1,4,680,1.3,10,5,16,230
1,4,598,1.5,10,8,-1,430
2,4,580,1.2,10,8,8,330
1,4,150,1.4,4.5,8,8,260
1,4,130,1.5,4.5,8,8,290
0.5,4,125,0.8,4,5,4,120
1,4,133,1.5,5,8,8,500
1,4,132,1.5,4.5,8,8,210
1,4,129,1.5,4.7,8,16,190
1,4,129,1.5,4.7,8,32,180
1,4,133,1.5,4.7,8,16,220
1,4,130,1.5,4.7,8,16,170
1,4,119.5,1.5,4.3,8,16,220
1,4,110,1,4.3,5,4,230
1,4,635,1.2,10,8,16,290
1,4,625,1.5,10,8,-1,430
1,4,598,1.6,10,8,-1,340
1,4,129,1.5,4.3,8,16,300
0.5,4,122,1,4.3,5,4,120
1,4,344,1,7,3.15,8,150
1,4,345,1,7,3.15,8,150
0.5,4,115,1,3.7,5,4,130
1,4,588,1,10,3.15,16,290
1,4,581,1,10,3.15,8,290
0.5,2.3,119,0.8,3.5,5,4,100
0.5,2.3,110,0.8,3.2,5,0.5,150
-1,2.3,186,1,5,5,16,180
0.5,2.3,107,1,3.7,5,8,120
0.25,2.3,117.1,-1,3.5,3.15,0.5,80
0.25,2.3,136,0.65,3.5,3.15,0.5,110
1,2.3,142,1.2,4,5,8,200
0.5,2.3,115,1,3.7,5,1,130
1,4,180,1.5,5.3,8,16,350
0.5,4,131.5,1,4,5,1,150
-1,2.3,126,0.65,2.6,3.15,0.146484375,120
-1,2.3,157,-1,4,5,0.5,460
1,2.3,144,1.5,4.5,12,13.2,250
1,2.3,135,1.5,4.5,8,4,220
0.5,2.3,110,0.8,3.5,3.15,0.5,210
1,2.3,145,1.2,4.3,8,16,230
1,4,139,1.4,4,8,-1,310
1,4,998,1.5,13,5,-1,540
1,4,599,1.5,10,5,16,290
1,4,332,1.5,7.7,5,16,410
1,4,134,1.5,4.7,8,16,180
0.5,4,-1,1.2,7,-1,4,100
1,4,137,1.5,4.3,8,16,220
0.25,2.3,100,0.8,2.8,3.15,0.5,70
0.25,2.3,120,0.8,3.5,3.15,0.5,110
